date,label,run,scenario,ws,privws,commit,peakws,threads,handles,children,tree_ws,tree_privws,tree_commit,note
2026-09-25 12:39,s6-100k,2,S6,258.9,214.3,359.6,260.5,18,479,4,36.7,7.2,11.9,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s"
2026-09-25 12:41,s6-default-1920,1,S1,92.6,49.1,181.9,100.4,17,463,2,18.2,3.5,5.8,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s, window 1920x1040 during load"
2026-09-25 12:45,s6-default-1920,1,S6,154.7,110.1,275.4,156.5,19,481,4,36.8,7.3,11.9,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s, window 1920x1040 during load"
2026-09-25 12:46,s6-default-1920,2,S1,93,49.5,182.2,99.9,17,461,2,18.2,3.5,5.9,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s, window 1920x1040 during load"
2026-09-25 12:50,s6-default-1920,2,S6,155.1,110.4,276,156.3,19,481,4,36.8,7.3,11.9,"S6 mode, probe build (main 898148e5 + counting allocator, thin LTO); 2 tabs of tui-mimic.py 180 s, window 1920x1040 during load"
"2026-09-25 11:44","bug0078-before","1","S1","90.6","48.4","181.1","96.9","16","462","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 11:47","bug0078-before","1","T1","138.5","88.6","199.3","139.4","14","467","2","15.6","3","5","BUG-0078"
"2026-09-25 11:50","bug0078-before","1","T2","174.1","123.7","237.6","174.9","17","486","4","31.5","6","12.2","BUG-0078"
"2026-09-25 11:51","bug0078-before","2","S1","90.7","48.6","181.4","96.9","16","462","2","15.5","2.8","5","BUG-0078"
"2026-09-25 11:53","bug0078-before","2","T1","131.1","88.3","198.8","132.7","14","465","2","15.6","2.9","5.1","BUG-0078"
"2026-09-25 11:56","bug0078-before","2","T2","167.3","123.9","237.6","168.3","18","482","4","31.5","6","12.2","BUG-0078"
"2026-09-25 12:04","bug0078-before-q","1","S1","90.4","48.1","180.8","97.1","16","464","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:05","bug0078-before-q","1","S2","95.1","52.1","234.3","97.1","21","491","6","46.6","8.7","21","BUG-0078"
"2026-09-25 12:06","bug0078-before-q","1","S3","126.2","82.9","243.9","126.9","21","491","6","46.5","8.6","14.8","BUG-0078"
"2026-09-25 12:06","bug0078-before-q","1","S4","93.2","49.9","182.5","126.9","14","467","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:08","bug0078-before-q","1","S5","93.8","50.5","183.2","126.9","14","467","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:09","bug0078-after","1","S1","142.3","58.4","167.4","156.5","16","487","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:09","bug0078-after","1","S2","146.5","62.3","173.4","156.5","21","514","6","46.6","8.7","21","BUG-0078"
"2026-09-25 12:10","bug0078-after","1","S3","155.9","71.7","182.6","158.3","21","514","6","46.5","8.6","14.8","BUG-0078"
"2026-09-25 12:10","bug0078-after","1","S4","143.5","59.3","168","158.3","14","490","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:12","bug0078-after","1","S5","144.2","59.9","168.7","158.3","14","490","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:13","bug0078-before-q","2","S1","90.9","48.6","181.4","97.1","16","461","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:13","bug0078-before-q","2","S2","95.7","52.8","235.1","97.1","21","491","6","46.6","8.7","21","BUG-0078"
"2026-09-25 12:14","bug0078-before-q","2","S3","127.4","84.2","244.9","128.2","21","491","6","46.5","8.6","14.8","BUG-0078"
"2026-09-25 12:14","bug0078-before-q","2","S4","94.4","51.1","183.8","128.2","15","469","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:16","bug0078-before-q","2","S5","94.4","51.1","183.8","128.2","15","469","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:17","bug0078-after","2","S1","90.3","48","157","95.6","16","464","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:17","bug0078-after","2","S2","94.9","52","163.2","95.7","21","491","6","46.6","8.7","20","BUG-0078"
"2026-09-25 12:18","bug0078-after","2","S3","105.9","62.7","173.9","107.3","22","493","6","46.5","8.6","14.8","BUG-0078"
"2026-09-25 12:18","bug0078-after","2","S4","94","50.7","159.7","107.3","15","469","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:20","bug0078-after","2","S5","94.2","50.9","160","107.3","14","465","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:21","bug0078-after","1","S1","90.9","48.6","157.7","97.2","16","462","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:24","bug0078-after","1","T1","111.9","62.1","172","112.7","14","469","2","15.6","2.9","5","BUG-0078"
"2026-09-25 12:26","bug0078-after","1","T2","122.7","72.2","183.4","124.8","18","486","4","31.5","6","12.2","BUG-0078"
"2026-09-25 12:27","bug0078-after","2","S1","98.2","48.8","157.9","110.5","16","465","2","15.5","2.9","5","BUG-0078"
"2026-09-25 12:30","bug0078-after","2","T1","111.9","62","172","113.9","14","466","2","15.6","2.9","5","BUG-0078"
"2026-09-25 12:33","bug0078-after","2","T2","122.7","72.1","183.3","124.3","18","485","4","31.5","6","12.2","BUG-0078"
"2026-09-25 12:33","bug0078-after-instr","1","S1","141.9","58","167","159.2","17","489","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:36","bug0078-after-instr","1","T1","153.3","69.1","178.9","159.2","14","488","2","15.6","2.9","5","BUG-0078"
"2026-09-25 12:39","bug0078-after-instr","1","T2","165.2","80.7","192","166.6","17","507","4","31.5","6","12.2","BUG-0078"
"2026-09-25 12:40","bug0078-after","3","S1","90.8","48.5","157.4","97.3","16","461","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:41","bug0078-after","3","S2","95.4","52.5","163.8","97.3","21","489","6","46.6","8.7","21","BUG-0078"
"2026-09-25 12:41","bug0078-after","3","S3","104.4","61.2","172.3","107.1","21","489","6","46.5","8.6","14.8","BUG-0078"
"2026-09-25 12:42","bug0078-after","3","S4","93.2","49.8","158.8","107.1","14","465","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:44","bug0078-after","3","S5","93.6","50.2","159.1","107.1","14","465","2","15.5","2.9","4.9","BUG-0078"
"2026-09-25 12:44","bug0078-before-big","1","S1","90.8","48.6","201.1","101.8","16","455","2","15.5","2.9","5","BUG-0078"
"2026-09-25 12:47","bug0078-before-big","1","T1","141.3","98.5","231.6","144.1","14","451","2","15.7","3.1","5.2","BUG-0078"
"2026-09-25 12:50","bug0078-before-big","1","T2","143.8","100.6","233.7","145.5","14","453","2","16","3.2","7.2","BUG-0078"
"2026-09-25 12:51","bug0078-after-instr-big","1","S1","91.3","49.1","177.9","101.9","16","456","2","15.5","2.9","5","BUG-0078"
"2026-09-25 12:53","bug0078-after-instr-big","1","T1","114.2","71.4","201.6","115.4","14","457","4","15.7","3","5.1","BUG-0078"
"2026-09-25 12:56","bug0078-after-instr-big","1","T2","114.4","71.2","201.5","116.2","14","457","2","16","3.1","7.3","BUG-0078"
